iteration,norm,alpha,lam,rms,timestamp
31252,2,0.01,0.301,4.473935918172921,15-02-2017 21:55:24
31528,2,0.01,0.301,4.47393591817171,15-02-2017 21:55:32
31545,2,0.01,0.301,4.473935918172338,15-02-2017 21:55:38
31229,2,0.01,0.301,4.473935918173006,15-02-2017 21:55:44
31999,2,0.01,0.301,4.473935918170593,15-02-2017 21:55:49
31016,2,0.01,0.301,4.473935918174369,15-02-2017 21:55:58
31306,2,0.01,0.301,4.473935918171544,15-02-2017 21:56:06
31743,2,0.01,0.301,4.4739359181711285,15-02-2017 21:56:14
31752,2,0.01,0.301,4.47393591817112,15-02-2017 21:56:21
31286,2,0.01,0.301,4.473935918172514,15-02-2017 21:56:27
31560,2,0.01,0.301,4.473935918171276,15-02-2017 21:56:33
31781,2,0.01,0.301,4.473935918170514,15-02-2017 21:56:39
31028,2,0.01,0.301,4.473935918173772,15-02-2017 21:56:45
31584,2,0.01,0.301,4.473935918170719,15-02-2017 21:56:56
31552,2,0.01,0.301,4.473935918170882,15-02-2017 21:57:03
31354,2,0.01,0.301,4.473935918172176,15-02-2017 21:57:09
31628,2,0.01,0.301,4.473935918170702,15-02-2017 21:57:15
31563,2,0.01,0.301,4.4739359181712075,15-02-2017 21:57:20
31537,2,0.01,0.301,4.47393591817163,15-02-2017 21:57:29
31343,2,0.01,0.301,4.473935918172061,15-02-2017 21:57:35
31596,2,0.01,0.301,4.4739359181713505,15-02-2017 21:57:41
31699,2,0.01,0.301,4.47393591817064,15-02-2017 21:57:47
31385,2,0.01,0.301,4.473935918171598,15-02-2017 21:57:52
31483,2,0.01,0.301,4.4739359181721285,15-02-2017 21:57:58
31548,2,0.01,0.301,4.473935918172084,15-02-2017 21:58:04
31312,2,0.01,0.301,4.473935918172539,15-02-2017 21:58:09
31679,2,0.01,0.301,4.473935918170773,15-02-2017 21:58:15
31608,2,0.01,0.301,4.473935918170947,15-02-2017 21:58:20
31413,2,0.01,0.301,4.47393591817226,15-02-2017 21:58:26
31981,2,0.01,0.301,4.473935918170274,15-02-2017 21:58:32
31410,2,0.01,0.301,4.473935918171853,15-02-2017 21:58:38
31476,2,0.01,0.301,4.473935918171057,15-02-2017 21:58:43
31184,2,0.01,0.301,4.473935918172425,15-02-2017 21:58:48
31475,2,0.01,0.301,4.473935918171572,15-02-2017 21:58:54
31593,2,0.01,0.301,4.4739359181715495,15-02-2017 21:59:00
31650,2,0.01,0.301,4.473935918170987,15-02-2017 21:59:05
31268,2,0.01,0.301,4.473935918172951,15-02-2017 21:59:11
30963,2,0.01,0.301,4.4739359181713665,15-02-2017 21:59:16
31575,2,0.01,0.301,4.473935918171197,15-02-2017 21:59:22
31346,2,0.01,0.301,4.473935918171654,15-02-2017 21:59:27
31699,2,0.01,0.301,4.47393591817135,15-02-2017 21:59:33
31406,2,0.01,0.301,4.47393591817204,15-02-2017 21:59:39
32247,2,0.01,0.301,4.473935918170593,15-02-2017 21:59:44
31673,2,0.01,0.301,4.473935918171802,15-02-2017 21:59:50
31310,2,0.01,0.301,4.4739359181718665,15-02-2017 21:59:56
31254,2,0.01,0.301,4.473935918171932,15-02-2017 22:00:01
32137,2,0.01,0.301,4.473935918170934,15-02-2017 22:00:08
31759,2,0.01,0.301,4.473935918171376,15-02-2017 22:00:15
31715,2,0.01,0.301,4.473935918170882,15-02-2017 22:00:22
31446,2,0.01,0.301,4.473935918171641,15-02-2017 22:00:27
31122,2,0.01,0.301,4.473935918173014,15-02-2017 22:00:32
31300,2,0.01,0.301,4.473935918172064,15-02-2017 22:00:37
31675,2,0.01,0.301,4.473935918170297,15-02-2017 22:00:42
31155,2,0.01,0.301,4.473935918173061,15-02-2017 22:00:48
31516,2,0.01,0.301,4.473935918171692,15-02-2017 22:00:54
31591,2,0.01,0.301,4.4739359181711364,15-02-2017 22:00:59
31460,2,0.01,0.301,4.473935918172272,15-02-2017 22:01:04
31841,2,0.01,0.301,4.473935918170373,15-02-2017 22:01:10
31885,2,0.01,0.301,4.4739359181710014,15-02-2017 22:01:16
31584,2,0.01,0.301,4.473935918171062,15-02-2017 22:01:21
31485,2,0.01,0.301,4.473935918171617,15-02-2017 22:01:27
31469,2,0.01,0.301,4.473935918171972,15-02-2017 22:01:32
31208,2,0.01,0.301,4.473935918172534,15-02-2017 22:01:38
30709,2,0.01,0.301,4.473935918172534,15-02-2017 22:01:43
31676,2,0.01,0.301,4.47393591817168,15-02-2017 22:01:49
31486,2,0.01,0.301,4.47393591817066,15-02-2017 22:01:54
31797,2,0.01,0.301,4.473935918170342,15-02-2017 22:02:00
31630,2,0.01,0.301,4.47393591817204,15-02-2017 22:02:06
31569,2,0.01,0.301,4.473935918171303,15-02-2017 22:02:11
31559,2,0.01,0.301,4.47393591817145,15-02-2017 22:02:17
31321,2,0.01,0.301,4.473935918172307,15-02-2017 22:02:22
31696,2,0.01,0.301,4.473935918170828,15-02-2017 22:02:29
31735,2,0.01,0.301,4.473935918171373,15-02-2017 22:02:37
31468,2,0.01,0.301,4.473935918172272,15-02-2017 22:02:42
30828,2,0.01,0.301,4.473935918174596,15-02-2017 22:02:47
31185,2,0.01,0.301,4.473935918173375,15-02-2017 22:02:52
31105,2,0.01,0.301,4.473935918173375,15-02-2017 22:02:58
31388,2,0.01,0.301,4.473935918172037,15-02-2017 22:03:04
31626,2,0.01,0.301,4.473935918170828,15-02-2017 22:03:11
31743,2,0.01,0.301,4.473935918170616,15-02-2017 22:03:20
31445,2,0.01,0.301,4.473935918171902,15-02-2017 22:03:27
32048,2,0.01,0.301,4.473935918170232,15-02-2017 22:03:34
31012,2,0.01,0.301,4.473935918174369,15-02-2017 22:03:40
31487,2,0.01,0.301,4.473935918171785,15-02-2017 22:03:47
32059,2,0.01,0.301,4.473935918171376,15-02-2017 22:03:53
32016,2,0.01,0.301,4.473935918170452,15-02-2017 22:04:00
31474,2,0.01,0.301,4.473935918172003,15-02-2017 22:04:06
1759,2,0.21,0.301,4.47393591816474,15-02-2017 22:21:34
1,2,0.21,0.301,90819632506.45755,15-02-2017 22:22:24
1,2,0.21,0.301,90819632506.45755,15-02-2017 22:22:49
1,2,0.21,0.301,90819632506.45755,15-02-2017 22:23:35
1,2,0.21,0.301,90819632506.45755,15-02-2017 22:24:33
9999,2,0.21,0.301,nan,15-02-2017 22:25:53
9999,2,0.21,3.01e-06,nan,15-02-2017 22:26:50
9999,2,0.21,3.01e-06,4.473842938824997,15-02-2017 22:28:56
9999,2,0.21,3.01e-06,4.473842938824995,15-02-2017 22:35:03
9999,2,0.21,3.01e-06,4.473842938824995,15-02-2017 22:35:17
9999,2,0.21,3.01e-06,4.473842938824995,15-02-2017 22:36:34
1586,2,0.21,0.0301,4.473843872969921,15-02-2017 22:36:55
1586,2,0.21,0.0301,4.473843872969921,15-02-2017 22:36:59
1586,2,0.21,0.0301,4.473843872969921,15-02-2017 22:43:08
1560,2,0.21,0.0301,4.625678588371207,15-02-2017 22:43:11
1738,2,0.21,0.301,4.625725116109008,15-02-2017 22:44:15
1738,2,0.21,0.301,4.625725116109008,15-02-2017 22:44:18
1713,2,0.21,0.301,4.625725033382136,15-02-2017 23:26:45
1718,2,0.21,0.301,4.625725033382127,15-02-2017 23:29:05
1701,2,0.21,0.301,4.625725033382141,15-02-2017 23:29:06
1725,2,0.21,0.301,4.6257250333820945,15-02-2017 23:29:06
1692,2,0.21,0.301,4.625725033382211,15-02-2017 23:29:07
1684,2,0.21,0.301,4.6257250333823485,15-02-2017 23:29:07
1723,2,0.21,0.301,4.625725033382109,15-02-2017 23:29:08
1714,2,0.21,0.301,4.625725033382127,15-02-2017 23:29:08
1700,2,0.21,0.301,4.625725033382206,15-02-2017 23:29:08
1699,2,0.21,0.301,4.6257250333822,15-02-2017 23:29:09
1714,2,0.21,0.301,4.625725033382132,15-02-2017 23:29:09
1723,2,0.21,0.301,4.625725033382106,15-02-2017 23:29:10
1727,2,0.21,0.301,4.625725033382085,15-02-2017 23:29:10
1745,2,0.21,0.301,4.625725033382047,15-02-2017 23:29:11
1716,2,0.21,0.301,4.625725033382132,15-02-2017 23:29:11
1739,2,0.21,0.301,4.62572503338206,15-02-2017 23:29:12
1728,2,0.21,0.301,4.625725033382086,15-02-2017 23:29:12
1763,2,0.21,0.301,4.625725033382003,15-02-2017 23:29:13
1759,2,0.21,0.301,4.625725033382008,15-02-2017 23:29:13
1698,2,0.21,0.301,4.625725033382163,15-02-2017 23:29:14
1767,2,0.21,0.301,4.625725033381993,15-02-2017 23:29:14
1735,2,0.21,0.301,4.6257250333820785,15-02-2017 23:29:15
1717,2,0.21,0.301,4.625725033382109,15-02-2017 23:29:15
1710,2,0.21,0.301,4.625725033382163,15-02-2017 23:29:15
1748,2,0.21,0.301,4.6257250333820386,15-02-2017 23:29:16
1731,2,0.21,0.301,4.625725033382071,15-02-2017 23:29:16
1748,2,0.21,0.301,4.625725033382034,15-02-2017 23:29:17
1737,2,0.21,0.301,4.62572503338207,15-02-2017 23:29:17
1694,2,0.21,0.301,4.6257250333821816,15-02-2017 23:29:18
1715,2,0.21,0.301,4.625725033382109,15-02-2017 23:29:18
1713,2,0.21,0.301,4.625725033382128,15-02-2017 23:29:19
